Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,State of the building,Code Immoweb,Type of Sale,
2800 — MECHELEN,Apartment,,305000,80,1,0,0,7,,,,2,0,Just renovated,20296737,No,
9150 — Kruibeke,Apartment,,305000,120,0,0,0,0,,,,,0,Good,20306551,No,
3000 — Leuven,Apartment,,349000,77,0,0,0,14,,,,,0,Good,20308016,No,
,,,,0,0,0,0,,,,,0,,,,,
1200 — Woluwe-Saint-Lambert,Apartment,,335000,80,1,1,0,8,,,,2,1,As new,20295671,No,
1180 — Uccle,Apartment,,385000,117,1,1,0,6,,,,2,1,Good,20295069,No,
1180 — Uccle,,Duplex,499000,155,1,1,0,27,,,,2,1,Good,20295033,No,
9450 — HAALTERT,Apartment,,225000,82,1,0,0,63,,,,2,0,As new,20311717,No,
1210 — Saint-josse-ten-noode,Apartment,,265000,96,1,1,0,0,,,,3,1,Good,20311737,No,
1070 — Anderlecht,,Duplex,328000,113,1,1,0,15,,,,2,0,As new,20310576,No,
8730 — Beernem,Apartment,,349000,101,0,0,0,0,,,,,0,Good,20310345,No,
,,,,0,0,0,0,,,,,0,,,,,
2100 — DEURNE,Apartment,,289000,88,1,0,0,45,45,45,,2,0,Just renovated,20291747,No,
9200 — DENDERMONDE,Apartment,,169900,59,1,0,0,0,,,,2,0,Good,20308719,No,
2100 — DEURNE,Apartment,,179000,76,1,0,0,0,,,,2,0,To be done up,20301360,No,
2800 — WALEM,Apartment,,245000,78,1,0,0,12,,,,2,0,As new,20295309,No,
2140 — ANTWERPEN,Apartment,,269900,90,1,0,0,0,33,33,,2,0,Good,20295694,No,
1200 — Woluwe-Saint-Lambert,,Duplex,449000,156,1,1,0,0,,,,2,1,As new,20310259,No,
2600 — BERCHEM,Apartment,,205000,92,1,0,0,16,,,,,0,To be done up,20298088,No,
1400 — Nivelles,Apartment,,259000,72,1,1,0,9,,,,,1,To be done up,20301424,No,
1080 — MOLENBEEK-SAINT-JEAN,Apartment,,275000,100,1,0,0,19,,,,2,0,As new,20304421,No,
1880 — KAPELLE-OP-DEN-BOS,Apartment,,317500,85,1,0,0,6,,,,2,0,Good,20304855,No,
1000 — Brussel,Apartment,,345000,87,1,1,0,3,,,,2,1,Good,20300781,No,
,,,,0,0,0,0,,,,,0,,,,,
1060 — Saint-Gilles,Apartment,,199000,77,1,1,0,0,,,,2,1,To renovate,20316113,No,
9120 — Beveren-Waas,Apartment,,249000,98,1,0,0,0,,,,2,0,Just renovated,20315257,No,
1081 — Koekelberg,Apartment,,279000,95,0,0,0,0,,,,,0,Good,20315287,No,
1140 — Evere,Apartment,,398000,107,1,0,0,18,,,,,0,Good,20318977,No,
8400 — Oostende,Apartment,,279000,86,0,1,0,0,,,,,0,Good,20309181,No,
8420 — Wenduine,Apartment,,279000,85,1,1,0,0,,,,,0,Good,20309341,No,
2880 — Hingene,Apartment,,374000,217,0,0,0,6,,,,,0,Good,20300094,No,
8500 — KORTRIJK,Apartment,,165000,100,1,0,0,5,,,,,0,Good,20316850,No,
2600 — BERCHEM,,Ground,169500,70,1,0,0,0,,,,,0,To be done up,20316597,No,
,,,,0,0,0,0,,,,,0,,,,,
1020 — Laeken,,Penthouse,300000,130,1,1,0,30,,,,2,1,As new,20316056,No,
2640 — MORTSEL,,Duplex,335000,132,0,0,0,22,,,,3,0,As new,20316934,No,
8430 — MIDDELKERKE,Apartment,,360000,63,1,1,0,0,,,,,0,Good,20316963,No,
9100 — Sint-Niklaas,Apartment,,269000,82,0,0,0,12,,,,,0,Good,20308654,No,
2000 — Antwerpen (2000),,Penthouse,495000,116,1,1,0,23,,,,,0,Good,20307383,No,
9000 — Gent,Apartment,,985000,126,0,0,0,17,,,,,0,As new,20308672,No,
,,,,0,0,0,0,,,,,0,,,,,
,,,,0,0,0,0,,,,,0,,,,,
8370 — BLANKENBERGE,Apartment,,199000,55,1,0,0,0,,,,,0,Good,20299046,No,
1000 — Bruxelles,Apartment,,259000,86,1,1,0,0,,,,2,1,To renovate,20295079,No,
1000 — Bruxelles,Apartment,,265000,86,1,1,0,0,,,,2,1,To renovate,20295081,No,
1000 — Bruxelles,Apartment,,265000,86,1,1,0,0,,,,2,1,To renovate,20295077,No,
1180 — Uccle,Apartment,,295000,86,1,1,0,23,,,,3,1,To renovate,20295034,No,
1000 — Bruxelles,Apartment,,299000,105,1,1,0,0,,,,2,1,To renovate,20295103,No,
1000 — Bruxelles,Apartment,,299000,105,1,1,0,0,,,,2,1,To renovate,20295074,No,
1000 — Bruxelles,Apartment,,325000,105,1,1,0,0,,,,2,1,To renovate,20295087,No,
1600 — Sint-Pieters-Leeuw,Apartment,,335000,84,1,1,0,18,,,,,0,Good,20300040,No,
1000 — Bruxelles,Apartment,,415000,123,1,1,0,5,,,,2,1,Good,20295050,No,
1000 — Bruxelles,,Duplex,425000,110,1,1,0,16,,,,2,1,Good,20295054,No,
1000 — Bruxelles,,Duplex,495000,146,1,1,0,12,,,,2,1,Good,20295045,No,
2018 — ANTWERPEN 2018,,Penthouse,685000,205,1,0,1,0,,,,,0,Just renovated,20299080,No,
1020 — Laeken,Apartment,,220000,100,1,1,0,17,,,,2,1,To renovate,20313701,No,
7321 — BLATON,Apartment,,220000,117,1,0,0,0,,,,,0,Good,20314035,No,
7850 — ENGHIEN,Apartment,,275000,95,0,0,0,25,,,,3,0,,20312490,No,
1050 — IXELLES,Apartment,,345000,64,1,0,0,20,,,,2,0,Just renovated,20313790,No,
9900 — Eeklo,Apartment,,185000,97,1,0,0,0,,,,,0,Good,20304708,No,
2100 — DEURNE,,Duplex,325000,93,1,0,0,17,,,,2,0,Just renovated,20308128,No,
2100 — DEURNE,Apartment,,325000,93,1,0,0,17,,,,2,0,Just renovated,20300739,No,
1050 — Ixelles,Apartment,,645000,165,1,1,0,6,,,,2,1,As new,20304789,No,
2018 — Antwerpen,Apartment,,379000,84,1,0,0,20,,,,,1,As new,20313932,No,
1190 — Forest,,Ground,600000,135,0,1,1,50,300,300,,,1,As new,20295364,No,
8570 — ANZEGEM,Apartment,,165000,92,1,0,0,0,,,,4,0,Good,20305152,No,
1060 — Saint-Gilles,Apartment,,275000,135,1,1,0,0,,,,2,0,To renovate,20316112,No,
1140 — Evere,,Duplex,285000,80,1,1,0,0,,,,3,1,Just renovated,20316856,No,
1000 — Bruxelles,,Duplex,299000,131,1,0,0,0,,,,2,1,To renovate,20316120,No,
1000 — Bruxelles,,Loft,595000,160,1,1,0,0,,,,2,1,As new,20317774,No,
1050 — Ixelles,,Penthouse,650000,105,1,1,0,13,,,,2,1,As new,20317776,No,
9820 — Merelbeke,Apartment,,619000,130,1,1,0,0,,,,,0,As new,20309482,No,
1040 — Etterbeek,Apartment,,345000,87,1,1,0,3,,,,2,1,Good,20302440,No,
1050 — Ixelles,Apartment,,380000,85,1,1,0,3,,,,2,1,To be done up,20298879,No,
2000 — ANTWERPEN,,Penthouse,399000,107,1,0,0,50,,,,2,0,Good,20301577,No,
1000 — BRUSSEL,Apartment,,645000,100,1,0,0,60,,,,,0,Just renovated,20302021,No,
1000 — BRUSSEL,,Penthouse,645000,100,1,0,0,60,,,,,0,Just renovated,20302020,No,
1020 — Laeken,Apartment,,225000,82,1,1,0,3,,,,2,1,To renovate,20316057,No,
9550 — Herzele,Apartment,,259000,110,1,1,0,20,,,,2,1,Good,20315877,No,
4420 — Saint-Nicolas,,Duplex,319000,145,1,1,0,0,,,,3,1,Good,20312786,No,
2870 — Ruisbroek (2870),Apartment,,189000,57,0,0,0,0,,,,,0,Good,20308012,No,
2820 — Bonheiden,Apartment,,325000,79,0,0,0,0,,,,,0,Good,20308998,No,
2800 — Mechelen,Apartment,,287000,116,1,0,0,6,,,,3,1,As new,20310753,No,
,,,,0,0,0,0,,,,,0,,,,,
2160 — Wommelgem,Apartment,,209000,99,1,0,0,1,,,,,0,Good,20296903,No,
9230 — WETTEREN,Apartment,,249000,88,1,0,0,9,,,,2,0,Good,20297492,No,
1000 — Bruxelles,Apartment,,285000,79,1,1,0,0,,,,2,1,Good,20295046,No,
1000 — Bruxelles,Apartment,,285000,79,1,1,0,0,,,,2,1,As new,20295044,No,
2640 — Mortsel,Apartment,,369000,130,0,1,0,9,,,,,0,Good,20297124,No,
2000 — ANTWERPEN 2000,Apartment,,549500,142,1,0,0,15,,,,,0,Just renovated,20298089,No,
2000 — ANTWERPEN 2000,,Penthouse,549500,142,1,0,0,15,,,,,0,Just renovated,20298087,No,
6700 — ARLON,Apartment,,200000,47,1,0,0,8,,,,,0,Good,20313041,No,
2270 — HERENTHOUT,Apartment,,299000,93,1,0,0,13,,,,3,0,,20314504,No,
9000 — Gent,Apartment,,398000,74,0,0,0,0,,,,,0,As new,20311117,No,
8620 — NIEUWPOORT,Apartment,,430000,60,1,1,0,0,,,,4,0,,20313003,No,
8370 — Blankenberge,,Flat,157500,37,0,1,0,0,,,,,0,To be done up,20303187,No,
1070 — Anderlecht,Apartment,,265000,100,1,1,0,20,,,,4,1,Good,20308055,No,
9300 — AALST,Apartment,,179000,69,1,0,0,0,,,,2,0,Good,20294422,No,
1020 — Laeken,Apartment,,319000,106,1,1,0,12,,,,2,1,As new,20310043,No,
8200 — Sint-Michiels,Apartment,,135000,37,1,0,0,0,,,,,0,To be done up,20302599,No,
9620 — Zottegem,Apartment,,169000,111,0,1,0,0,,,,,0,Good,20302664,No,
1000 — BRUSSEL,Apartment,,239000,47,1,1,0,2,,,,3,0,Good,20305154,No,
2660 — HOBOKEN,Apartment,,339000,136,1,0,0,16,,,,2,0,As new,20305666,No,
9620 — Zottegem,Apartment,,339000,121,0,1,0,7,,,,,0,Good,20301029,No,
2640 — MORTSEL,Apartment,,369000,122,1,0,0,6,35,35,,,0,Just renovated,20305566,No,
9000 — Gent,Apartment,,399000,142,0,1,0,60,,,,,0,Good,20302610,No,
9000 — Gent,Apartment,,895000,146,0,0,0,0,,,,,0,As new,20302344,No,
8620 — NIEUWPOORT,,Flat,235000,36,1,1,0,0,,,,,0,Good,20317807,No,
9000 — Gent,Apartment,,435000,169,0,1,0,0,,,,,0,To be done up,20317879,No,
1120 — Neder-Over-Heembeek,Apartment,,269000,90,1,1,0,18,,,,2,1,Good,20276560,No,
2800 — MECHELEN,Apartment,,299000,168,1,0,0,0,,,,2,0,To be done up,20309860,No,
1050 — Ixelles,Apartment,,249000,60,1,1,0,5,,,,2,1,Good,20298878,"('Under option', 'No')",
1040 — Bruxelles,Apartment,,350000,56,1,1,0,0,,,,,1,As new,20300825,No,
8400 — Oostende,Apartment,,238000,56,0,0,0,0,,,,,0,Good,20317359,No,
9050 — Gentbrugge,Apartment,,289000,147,0,1,0,75,,,,,0,,20316643,No,
9820 — Merelbeke,Apartment,,289000,147,0,1,0,75,,,,,0,,20316694,No,
4845 — Jalhay,Apartment,,295000,110,1,1,0,21,55,55,,3,1,As new,20313695,No,
9040 — Gent Sint-Amandsberg,Apartment,,325000,126,1,1,0,12,,,,3,1,As new,20311355,No,
9050 — Gentbrugge,Apartment,,398000,157,0,1,0,16,,,,,0,,20316626,No,
8580 — AVELGEM,,Loft,650000,225,1,0,0,0,,,,2,0,Good,20316545,No,
4420 — SAINT-NICOLAS,Apartment,,99000,47,1,0,0,0,,,,3,0,Good,20306743,No,
9000 — Gent,Apartment,,565000,84,0,0,0,0,,,,,0,Good,20308996,No,
