,Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,State of the building,Code Immoweb,Type of Sale,Tenement building
90,8400 — Oostende,Apartment,None,320000.0,88.0,0,1,0,4.0,None,None,None,None,0.0,1,20303165,no,0
91,2000 — ANTWERPEN,Apartment,None,449000.0,166.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20305142,no,0
92,3000 — LEUVEN,Apartment,None,265000.0,60.0,1,0,0,7.0,None,None,None,2.0,0.0,1,20295946,no,0
93,3000 — LEUVEN,Apartment,None,295000.0,60.0,1,0,0,7.0,None,None,None,2.0,0.0,3,20295916,no,0
94,3000 — LEUVEN,Apartment,None,299500.0,60.0,1,0,0,0.0,100.0,100.0,None,2.0,0.0,1,20295908,no,0
95,1160 — Auderghem,Apartment,None,510000.0,115.0,1,1,0,10.0,None,None,None,2.0,1.0,5,20305153,no,0
96,2140 — BORGERHOUT,Apartment,None,145000.0,59.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20318826,no,0
97,1050 — Ixelles,Apartment,None,445000.0,65.0,1,1,0,18.0,None,None,None,2.0,1.0,5,20317786,no,0
98,2170 — MERKSEM,Apartment,None,185000.0,70.0,1,0,0,3.0,None,None,None,2.0,0.0,3,20301576,1,0
99,8580 — AVELGEM,Apartment,None,359000.0,181.0,0,0,0,0.0,None,None,None,2.0,0.0,3,20315316,no,0
100,1000 — Bruxelles,Apartment,None,395000.0,95.0,1,1,0,8.0,None,None,None,2.0,0.0,3,20313864,no,0
101,8530 — HARELBEKE,Apartment,None,685000.0,147.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20309437,no,0
102,3300 — TIENEN,Apartment,None,189000.0,81.0,0,0,0,22.0,None,None,None,4.0,0.0,2,20298238,no,0
103,2018 — ANTWERPEN 2018,Apartment,None,495000.0,177.0,1,0,0,18.0,None,None,None,None,0.0,1,20299083,no,0
104,2000 — ANTWERPEN 2000,Apartment,None,695000.0,180.0,1,0,0,35.0,None,None,None,None,0.0,3,20299084,no,0
105,8670 — Oostduinkerke,Apartment,None,215000.0,61.0,0,0,0,0.0,None,None,None,None,0.0,2,20310046,no,0
106,2640 — MORTSEL,Apartment,None,285000.0,120.0,1,0,0,19.0,None,None,None,None,0.0,none,20310942,no,0
107,2100 — DEURNE,Apartment,None,209999.0,75.0,1,0,0,0.0,None,None,None,2.0,0.0,5,20304366,no,0
108,2600 — BERCHEM,Apartment,None,245000.0,110.0,1,0,0,0.0,None,None,None,3.0,0.0,3,20305050,no,0
109,2140 — Borgerhout,Apartment,None,259000.0,85.0,1,0,0,3.0,None,None,None,None,0.0,4,20302574,no,0
110,1470 — GENAPPE,Apartment,None,195000.0,80.0,1,0,0,0.0,None,None,None,3.0,0.0,3,20319509,no,0
111,8370 — Blankenberge,Apartment,None,197000.0,98.0,1,1,0,0.0,None,None,None,2.0,0.0,3,20317961,no,0
112,9660 — BRAKEL,Apartment,None,254000.0,135.0,1,0,0,0.0,None,None,None,2.0,0.0,4,20318198,no,0
113,9000 — Gent,Apartment,None,365000.0,124.0,0,1,0,7.0,None,None,None,None,0.0,none,20316713,no,0
114,8380 — Zeebrugge,Apartment,None,294000.0,58.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20309178,no,0
115,8300 — Knokke,Apartment,None,525000.0,80.0,1,1,0,0.0,None,None,None,2.0,0.0,3,20309675,no,0
116,9320 — EREMBODEGEM,Apartment,None,199000.0,91.0,0,0,0,0.0,None,None,None,2.0,0.0,3,20316951,1,0
117,8800 — Roeselare,Apartment,None,265000.0,94.0,0,0,0,11.0,None,None,None,None,0.0,3,20314958,no,0
118,9000 — Gent,Apartment,None,325000.0,106.0,1,1,0,8.0,None,None,None,2.0,1.0,3,20317181,no,0
119,1180 — Uccle,Apartment,None,799000.0,180.0,1,1,0,28.0,90.0,90.0,None,2.0,1.0,5,20313017,no,0
120,8300 — Knokke-Heist,Apartment,None,2975000.0,125.0,1,1,0,37.0,None,None,None,2.0,1.0,4,20314259,no,0
121,2020 — ANTWERPEN,Apartment,None,319000.0,None,1,0,0,3.0,None,None,None,2.0,0.0,3,20313035,no,0
122,8400 — Oostende,Apartment,None,219000.0,62.0,0,1,0,4.0,None,None,None,None,0.0,3,20305572,no,0
123,1070 — Anderlecht,Apartment,None,285000.0,74.0,1,1,0,0.0,100.0,100.0,None,None,0.0,3,20304291,no,0
124,3500 — Hasselt,Apartment,None,295000.0,100.0,1,1,0,3.0,None,None,None,None,0.0,4,20305476,no,0
125,3500 — Hasselt,Apartment,None,249000.0,65.0,0,0,0,15.0,None,None,None,None,0.0,3,20302613,no,0
126,1200 — Woluwe-Saint-Lambert,Apartment,None,430000.0,107.0,1,1,0,6.0,None,None,None,2.0,1.0,5,20303198,no,0
127,8400 — Oostende,Apartment,None,119000.0,69.0,0,0,0,0.0,None,None,None,None,0.0,0,20316568,no,0
128,1140 — Evere,Apartment,None,298000.0,102.0,1,1,0,0.0,None,None,None,3.0,1.0,4,20316854,no,0
129,8400 — Oostende,Apartment,None,429000.0,147.0,0,0,0,6.0,None,None,None,None,0.0,3,20309333,no,0
130,9000 — Gent,Apartment,None,445000.0,101.0,0,0,0,10.0,None,None,None,None,0.0,3,20309748,no,0
131,1180 — Uccle,Apartment,None,235000.0,70.0,1,1,0,0.0,None,None,None,2.0,1.0,2,20297717,1,0
132,1020 — Laeken,Apartment,None,249000.0,92.0,1,1,0,8.0,None,None,None,2.0,1.0,3,20300918,no,0
133,1350 — Jauche,Apartment,None,179000.0,97.0,1,1,0,15.0,5.0,5.0,None,2.0,1.0,1,20314871,no,0
134,1370 — Jodoigne,Apartment,None,179000.0,97.0,1,1,0,15.0,5.0,5.0,None,2.0,1.0,1,20314875,no,0
135,8020 — Oostkamp,Apartment,None,195000.0,69.0,1,1,0,0.0,None,None,None,None,0.0,3,20312185,no,0
136,9940 — Evergem,Apartment,None,215000.0,100.0,0,0,0,0.0,None,None,None,None,0.0,3,20314855,no,0
137,9000 — Gent,Apartment,None,232000.0,71.0,1,0,0,0.0,None,None,None,None,0.0,4,20314859,no,0
138,8620 — Nieuwpoort,Apartment,None,295000.0,63.0,1,1,0,0.0,None,None,None,None,0.0,3,20313522,no,0
139,2800 — MECHELEN,Apartment,None,299500.0,79.0,1,0,0,7.0,None,None,None,2.0,0.0,4,20296739,no,0
140,2800 — MECHELEN,Apartment,None,299500.0,79.0,1,0,0,7.0,None,None,None,2.0,0.0,4,20296738,no,0
141,2800 — MECHELEN,Apartment,None,305000.0,80.0,1,0,0,7.0,None,None,None,2.0,0.0,4,20296737,no,0
142,9150 — Kruibeke,Apartment,None,305000.0,120.0,0,0,0,0.0,None,None,None,None,0.0,3,20306551,no,0
143,3000 — Leuven,Apartment,None,349000.0,77.0,0,0,0,14.0,None,None,None,None,0.0,3,20308016,no,0
144,1200 — Woluwe-Saint-Lambert,Apartment,None,335000.0,80.0,1,1,0,8.0,None,None,None,2.0,1.0,5,20295671,no,0
145,1180 — Uccle,Apartment,None,385000.0,117.0,1,1,0,6.0,None,None,None,2.0,1.0,3,20295069,no,0
146,9450 — HAALTERT,Apartment,None,225000.0,82.0,1,0,0,63.0,None,None,None,2.0,0.0,5,20311717,no,0
147,1210 — Saint-josse-ten-noode,Apartment,None,265000.0,96.0,1,1,0,0.0,None,None,None,3.0,1.0,3,20311737,no,0
148,8730 — Beernem,Apartment,None,349000.0,101.0,0,0,0,0.0,None,None,None,None,0.0,3,20310345,no,0
149,2100 — DEURNE,Apartment,None,289000.0,88.0,1,0,0,45.0,45.0,45.0,None,2.0,0.0,4,20291747,no,0
150,9200 — DENDERMONDE,Apartment,None,169900.0,59.0,1,0,0,0.0,None,None,None,2.0,0.0,3,20308719,no,0
151,2100 — DEURNE,Apartment,None,179000.0,76.0,1,0,0,0.0,None,None,None,2.0,0.0,1,20301360,no,0
152,2800 — WALEM,Apartment,None,245000.0,78.0,1,0,0,12.0,None,None,None,2.0,0.0,5,20295309,no,0
153,2140 — ANTWERPEN,Apartment,None,269900.0,90.0,1,0,0,0.0,33.0,33.0,None,2.0,0.0,3,20295694,no,0
154,2600 — BERCHEM,Apartment,None,205000.0,92.0,1,0,0,16.0,None,None,None,None,0.0,1,20298088,no,0
155,1400 — Nivelles,Apartment,None,259000.0,72.0,1,1,0,9.0,None,None,None,None,1.0,1,20301424,no,0
156,1080 — MOLENBEEK-SAINT-JEAN,Apartment,None,275000.0,100.0,1,0,0,19.0,None,None,None,2.0,0.0,5,20304421,no,0
157,1880 — KAPELLE-OP-DEN-BOS,Apartment,None,317500.0,85.0,1,0,0,6.0,None,None,None,2.0,0.0,3,20304855,no,0
158,1000 — Brussel,Apartment,None,345000.0,87.0,1,1,0,3.0,None,None,None,2.0,1.0,3,20300781,no,0
159,1060 — Saint-Gilles,Apartment,None,199000.0,77.0,1,1,0,0.0,None,None,None,2.0,1.0,2,20316113,no,0
160,9120 — Beveren-Waas,Apartment,None,249000.0,98.0,1,0,0,0.0,None,None,None,2.0,0.0,4,20315257,no,0
161,1081 — Koekelberg,Apartment,None,279000.0,95.0,0,0,0,0.0,None,None,None,None,0.0,3,20315287,no,0
162,1140 — Evere,Apartment,None,398000.0,107.0,1,0,0,18.0,None,None,None,None,0.0,3,20318977,no,0
163,8400 — Oostende,Apartment,None,279000.0,86.0,0,1,0,0.0,None,None,None,None,0.0,3,20309181,no,0
164,8420 — Wenduine,Apartment,None,279000.0,85.0,1,1,0,0.0,None,None,None,None,0.0,3,20309341,no,0
165,2880 — Hingene,Apartment,None,374000.0,217.0,0,0,0,6.0,None,None,None,None,0.0,3,20300094,no,0
166,8500 — KORTRIJK,Apartment,None,165000.0,100.0,1,0,0,5.0,None,None,None,None,0.0,3,20316850,no,0
167,8430 — MIDDELKERKE,Apartment,None,360000.0,63.0,1,1,0,0.0,None,None,None,None,0.0,3,20316963,no,0
168,9100 — Sint-Niklaas,Apartment,None,269000.0,82.0,0,0,0,12.0,None,None,None,None,0.0,3,20308654,no,0
169,9000 — Gent,Apartment,None,985000.0,126.0,0,0,0,17.0,None,None,None,None,0.0,5,20308672,no,0
170,8370 — BLANKENBERGE,Apartment,None,199000.0,55.0,1,0,0,0.0,None,None,None,None,0.0,3,20299046,no,0
171,1000 — Bruxelles,Apartment,None,259000.0,86.0,1,1,0,0.0,None,None,None,2.0,1.0,2,20295079,no,0
172,1000 — Bruxelles,Apartment,None,265000.0,86.0,1,1,0,0.0,None,None,None,2.0,1.0,2,20295081,no,0
173,1000 — Bruxelles,Apartment,None,265000.0,86.0,1,1,0,0.0,None,None,None,2.0,1.0,2,20295077,no,0
174,1180 — Uccle,Apartment,None,295000.0,86.0,1,1,0,23.0,None,None,None,3.0,1.0,2,20295034,no,0
175,1000 — Bruxelles,Apartment,None,299000.0,105.0,1,1,0,0.0,None,None,None,2.0,1.0,2,20295103,no,0
176,1000 — Bruxelles,Apartment,None,299000.0,105.0,1,1,0,0.0,None,None,None,2.0,1.0,2,20295074,no,0
177,1000 — Bruxelles,Apartment,None,325000.0,105.0,1,1,0,0.0,None,None,None,2.0,1.0,2,20295087,no,0
178,1600 — Sint-Pieters-Leeuw,Apartment,None,335000.0,84.0,1,1,0,18.0,None,None,None,None,0.0,3,20300040,no,0
179,1000 — Bruxelles,Apartment,None,415000.0,123.0,1,1,0,5.0,None,None,None,2.0,1.0,3,20295050,no,0
180,1020 — Laeken,Apartment,None,220000.0,100.0,1,1,0,17.0,None,None,None,2.0,1.0,2,20313701,no,0
181,7321 — BLATON,Apartment,None,220000.0,117.0,1,0,0,0.0,None,None,None,None,0.0,3,20314035,no,0
182,7850 — ENGHIEN,Apartment,None,275000.0,95.0,0,0,0,25.0,None,None,None,3.0,0.0,none,20312490,no,0
183,1050 — IXELLES,Apartment,None,345000.0,64.0,1,0,0,20.0,None,None,None,2.0,0.0,4,20313790,no,0
